
2025/02/13 (22:17:28) | ===> btop++ v.1.4.0
2025/02/13 (22:17:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (22:17:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/13 (22:17:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (22:45:59) | ===> btop++ v.1.4.0
2025/02/13 (22:45:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (22:45:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/13 (22:45:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (22:49:23) | ===> btop++ v.1.4.0
2025/02/13 (22:49:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (22:49:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/13 (22:49:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (22:50:22) | ===> btop++ v.1.4.0
2025/02/13 (22:50:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (22:50:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/13 (22:50:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (21:55:27) | ===> btop++ v.1.4.0
2025/02/18 (21:55:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/18 (21:55:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/18 (21:55:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (22:07:28) | ===> btop++ v.1.4.0
2025/02/24 (22:07:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/24 (22:07:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/24 (22:07:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (22:19:00) | ===> btop++ v.1.4.0
2025/02/24 (22:19:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/24 (22:19:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/24 (22:19:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (23:17:00) | ===> btop++ v.1.4.0
2025/02/24 (23:17:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/24 (23:17:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/24 (23:17:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (01:30:08) | ===> btop++ v.1.4.0
2025/02/25 (01:30:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (01:30:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/25 (01:30:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (01:52:32) | ===> btop++ v.1.4.0
2025/02/26 (01:52:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/26 (01:52:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/02/26 (01:52:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (01:54:17) | ===> btop++ v.1.4.0
2025/03/04 (01:54:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (01:54:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/04 (01:54:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (16:52:48) | ===> btop++ v.1.4.0
2025/03/05 (16:52:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/05 (16:52:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/05 (16:52:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (17:41:48) | ===> btop++ v.1.4.0
2025/03/05 (17:41:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/05 (17:41:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/05 (17:41:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (18:30:34) | ===> btop++ v.1.4.0
2025/03/05 (18:30:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/05 (18:30:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/05 (18:30:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (21:34:56) | ===> btop++ v.1.4.0
2025/03/05 (21:34:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/05 (21:34:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/05 (21:34:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (22:46:27) | ===> btop++ v.1.4.0
2025/03/05 (22:46:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/05 (22:46:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/05 (22:46:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (23:18:00) | ===> btop++ v.1.4.0
2025/03/09 (23:18:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/09 (23:18:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/09 (23:18:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (00:53:10) | ===> btop++ v.1.4.0
2025/03/10 (00:53:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (00:53:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/10 (00:53:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (01:07:48) | ===> btop++ v.1.4.0
2025/03/10 (01:07:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (01:07:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/10 (01:07:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (01:09:07) | ===> btop++ v.1.4.0
2025/03/10 (01:09:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (01:09:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/10 (01:09:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (01:21:12) | ===> btop++ v.1.4.0
2025/03/10 (01:21:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (01:21:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/10 (01:21:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (01:29:29) | ===> btop++ v.1.4.0
2025/03/10 (01:29:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/10 (01:29:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/10 (01:29:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (01:55:32) | ===> btop++ v.1.4.0
2025/03/11 (01:55:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/11 (01:55:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/11 (01:55:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (19:20:11) | ===> btop++ v.1.4.0
2025/03/11 (19:20:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/11 (19:20:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/11 (19:20:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (19:26:40) | ===> btop++ v.1.4.0
2025/03/11 (19:26:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/11 (19:26:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/11 (19:26:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (19:57:18) | ===> btop++ v.1.4.0
2025/03/11 (19:57:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/11 (19:57:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/11 (19:57:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (19:57:44) | ===> btop++ v.1.4.0
2025/03/11 (19:57:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/11 (19:57:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/11 (19:57:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (18:13:38) | ===> btop++ v.1.4.0
2025/03/13 (18:13:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/13 (18:13:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/13 (18:13:38) | WARNING: Intel GPU: Failed to initialize PMU

